#Parameters = {AirCoaxRadius=1.5; ChamferAngle=32; ChamferWidth=4.6; FeedYoffset=8; PatchLength=28.6; PatchWidth=28.6}
#"Frequency / GHz"	"Axial Ratio [Real Part]"
#-------------------------------------------
1.4500000000000	40.000000000000
1.4753164556962	40.000000000000
1.5006329113924	40.000000000000
1.5259493670886	40.000000000000
1.5512658227848	40.000000000000
1.5765822784810	40.000000000000
1.6018987341772	40.000000000000
1.6272151898734	40.000000000000
1.6525316455696	40.000000000000
1.6778481012658	40.000000000000
1.7031645569620	40.000000000000
1.7284810126582	40.000000000000
1.7537974683544	40.000000000000
1.7791139240506	40.000000000000
1.8044303797468	40.000000000000
1.8297468354430	40.000000000000
1.8550632911392	40.000000000000
1.8803797468354	40.000000000000
1.9056962025316	40.000000000000
1.9310126582278	40.000000000000
1.9563291139240	40.000000000000
1.9816455696202	40.000000000000
2.0069620253165	40.000000000000
2.0322784810127	40.000000000000
2.0575949367089	40.000000000000
2.0829113924051	40.000000000000
2.1082278481013	39.214782147699
2.1335443037975	36.848392079409
2.1588607594937	36.084553151035
2.1841772151899	33.588180210209
2.2094936708861	32.252364516723
2.2348101265823	29.884165720773
2.2601265822785	27.785879670922
2.2854430379747	25.320632883059
2.3107594936709	22.476323892576
2.3360759493671	19.465004339912
2.3613924050633	15.799356212815
2.3867088607595	11.790410846856
2.4120253164557	7.1502620011726
2.4373417721519	2.4251572693302
2.4500000000000	1.6070455010895
2.4626582278481	3.5275260363102
2.4879746835443	8.2209911920228
2.5132911392405	12.401260263571
2.5386075949367	16.092907444541
2.5639240506329	19.229028214262
2.5892405063291	21.913082085820
2.6145569620253	24.397888764286
2.6398734177215	26.342785877065
2.6651898734177	28.448567304561
2.6905063291139	29.924116801430
2.7158227848101	31.674150765959
2.7411392405063	33.010636030986
2.7664556962025	34.254851172054
2.7917721518987	35.778017222728
2.8170886075949	36.387466516533
2.8424050632911	38.219614030761
2.8677215189873	38.321254508538
2.8930379746835	40.000000000000
2.9183544303797	40.000000000000
2.9436708860759	40.000000000000
2.9689873417721	40.000000000000
2.9943037974683	40.000000000000
3.0196202531646	40.000000000000
3.0449367088608	40.000000000000
3.0702531645570	40.000000000000
3.0955696202532	40.000000000000
3.1208860759494	40.000000000000
3.1462025316456	40.000000000000
3.1715189873418	40.000000000000
3.1968354430380	40.000000000000
3.2221518987342	40.000000000000
3.2474683544304	40.000000000000
3.2727848101266	40.000000000000
3.2981012658228	40.000000000000
3.3234177215190	40.000000000000
3.3487341772152	40.000000000000
3.3740506329114	40.000000000000
3.3993670886076	40.000000000000
3.4246835443038	40.000000000000
3.4500000000000	40.000000000000
